# r_j/R   g/c     constlddist [N*m]
# ======  ======  =================
   0.245    0.75           1.93E+06
   0.274    0.75           1.89E+06
   0.452    0.75           1.47E+06
   0.540    0.75           1.49E+06
   0.629    0.75           1.55E+06
   0.245    1.00           2.42E+06
   0.274    1.00           2.33E+06
   0.452    1.00           1.37E+06
   0.540    1.00           1.42E+06
   0.629    1.00           1.50E+06
   0.245    1.25           2.97E+06
   0.274    1.25           2.82E+06
   0.452    1.25           1.25E+06
   0.540    1.25           1.33E+06
   0.629    1.25           1.48E+06
